Item,Transaction,Kuantitas
SELIMUT KARAKTER ANAK,177 ,2 
TOPLES 16L,178 ,4 
BANTAL SOVA,178 ,1 
RAK DAPUR BY SHENAR,178 ,1 
KESED ANYAMAN,178 ,2 
JAM DINDING ANGKA,179 ,2 
JAM DINDING ANGKA,180 ,1 
MASKER DUCKBIL ANAK,180 ,1 
CUTER TRANSPARAN,181 ,2 
JAM DINDING ANGKA,181 ,1 
PANCI SUSU TUTUP 16,181 ,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,182 ,2 
SPREI MY LOVE 180 30CM,183 ,1 
RAK SET GANTUNG 3IN1,184 ,1 
RAK AMAZING BY SHENAR,185 ,2 
RANTANG JAGO STENLIS,186 ,1 
BUSA ROYAL 140x30,187 ,1 
BUSA ROYAL 160x20,187 ,1 
SELIMUT KARAKTER ANAK,187 ,4 
BANTAL/GULING MAHKOTA MERAH,187 ,4 
CETAKAN PUKIS SUGGO,187 ,1 
BANTAL CINTA,187 ,5 
CUTER TRANSPARAN,188 ,2 
CUTER TRANSPARAN,189 ,1 
SANDAL SWALLOW SERI,190 ,1 
SENDOK/GARPU BATIK,191 ,1 
PANGGANGAN LIPAT,192 ,1 
LEMARI PIRING SLIDING PLUS LACI 6P,193 ,1 
STAN HANGER TOPI,193 ,1 
MAWAR LAUNDRY REFILL,194 ,1 
BABY WALKER 89,195 ,1 
"OILPOTS STAINLESS 1,3L",195 ,1 
PANCI GORENG SARANGAN,195 ,1 
PANCI KUAH AXLO 22CM,195 ,1 
CUTER TRANSPARAN,196 ,1 
CUTER TRANSPARAN,197 ,1 
CUTER TRANSPARAN,198 ,1 
SPREI MY LOVE 180 30CM,199 ,3 
TREMOS SOLARIS LION STAR,200 ,1 
PANCI SUSU TUTUP 16,201 ,1 
CUTER TRANSPARAN,202 ,1 
SPREI MY LOVE 180 30CM,203 ,1 
SPREI LADY ROSE 180x20,204 ,1 
TEPUNG IRUT,205 ,1 
RAK BUKU GSF,206 ,1 
CUTER TRANSPARAN,207 ,5 
TREMOS INDOGLASS 750ML,208 ,1 
KESED 5D DIATOMITE,209 ,2 
BLENDER KAPSUL,210 ,1 
TEKO VACUM,210 ,1 
GAGANG SUPERMOP,210 ,1 
SPRINGBED BIGDREAM 180,211 ,1 
KIPAS WELHOME BERDIRI 1681,212 ,1 
WAJAN KUPING ENAMEL,213 ,1 
MAWAR LAUNDRY REFILL,213 ,5 
MASKER DUCKBIL ANAK,213 ,1 
SPREI MY LOVE 180 30CM,214 ,1 
TEKO SET JAGO,215 ,1 
TIMBANGAN DAPUR KENMASTER,215 ,1 
TEFLON GSF 22CM,215 ,1 
BUSA ROYAL 120x20,216 ,1 
MAWAR LAUNDRY REFILL,217 ,1 
SPRINGBED VALENCIA,217 ,1 
BONEKA BOBA LED XL,218 ,1 
BONEKA BOBA LED XL,219 ,1 
BOTOL KACA KAKTUS,220 ,1 
RACUN TIKUS,220 ,2 
TABLET LCD,221 ,1 
RACUN TIKUS,221 ,1 
KANEBO BIRU,221 ,1 
SAMBUNGAN KRAN,221 ,1 
DIPAN SULTAN,222 ,1 
BUSA MEDICARE 120,223 ,1 
SPREI LADY ROSE 120X20,223 ,2 
KARPET SPONS MURAH,224 ,1 
PISAU SULTAN,225 ,1 
RAK KAMAR MANDI KOTAK,225 ,1 
KURSI JATI FINISHING MELING,226 ,1 
KIPAS WELHOME BERDIRI 1681,226 ,1 
KOMPOR PORTABLE MYVO,227 ,1 
CUTER TRANSPARAN,228 ,1 
TATAKAN KOMPOR KAKI 6,229 ,1 
PANGGANGAN PORTABEL,229 ,1 
LOYANG ROTI 3PCS,229 ,1 
SPREI LADY ROSE 120X20,230 ,2 
BOTOL KACA KAKTUS,230 ,2 
PISAU SULTAN,231 ,2 
SPREI LADY ROSE 180x20,232 ,1 
KOMPOR MIYAKO KG-11C,233 ,1 
GELAS JUS PORTO,234 ,1 
MANTEL PONCO AURORA,234 ,1 
NAMPAN 4 SEDENG,235 ,1 
TREMOS SOLARIS LION STAR,235 ,1 
CANGKIR SET BROWN,235 ,1 
CANGKIR LEPEK ROSE,235 ,1 
SPREI MY LOVE 180 30CM,235 ,1 
TABLET LCD,236 ,2 
SARUNG SAMARINDA,237 ,1 
TABLET LCD,238 ,10 
CUTER TRANSPARAN,239 ,2 
JAM DINDING ANGKA,239 ,2 
LEMARI PIRING ALUMINIUM 6P WARNA,240 ,1 
MASKER DUCKBIL ANAK,240 ,1 
BONEKA BOBA LED XL,240 ,2 
JAM DINDING ANGKA,241 ,2 
SPREI BONITA 160X20,241 ,1 
BOTOL KACA KAKTUS,241 ,1 
HANDUK MICRO FIBER,242 ,1 
CUTER TRANSPARAN,243 ,1 
SPRITE/COCA COLA/fFANTA 1 KRAT,244 ,8 
DIPAN SULTAN,244 ,4 
NAMPAN 4 SEDENG,245 ,2 
SPRITE/COCA COLA/fFANTA 1 KRAT,245 ,2 
JAM DINDING ANGKA,246 ,1 
CUTER TRANSPARAN,246 ,1 
TOPRON,246 ,2 
MEJA BELAJAR IMPOR KARAKTER,247 ,1 
CUTER TRANSPARAN,248 ,1 
KESED 5D DIATOMITE,248 ,1 
POMPA GALON ELEKTRIK GSF,249 ,1 
TIRAI MAGNET ANTI NYAMUK,250 ,1 
BOX 156 SL,250 ,1 
DOUBLE PAN HAPPY CALL,250 ,1 
BATU BATRAI DYNAMAX,251 ,1 
RACUN TIKUS,252 ,4 
KERANJANG PAJERO WARNA,253 ,1 
TAPLAK MEJA EMAS,254 ,1 
RACUN TIKUS,254 ,1 
TABLET LCD,255 ,1 
MEJA BELAJAR JUMBO+ KURSI APANEL,256 ,1 
PISAU SULTAN,258 ,1 
JAM DINDING ANGKA,259 ,1 
PIRING ROTAN PLASTIK,260 ,1 
TALENAN KAYU KCL,260 ,1 
JEMURAN ALUMINIUM STANDART WARNA,260 ,1 
PAYUNG 16 JARI,260 ,1 
CETAKAN PUKIS SUGGO,261 ,1 
PISAU SULTAN,261 ,1 
TREMOS INDOGLASS 1000ML,261 ,1 
PAYUNG PELANGI JUMBO,261 ,1 
RACUN TIKUS,261 ,1 
PANCI EAGLE 20 SARANGAN,262 ,1 
BONEKA BOBA LED XL,263 ,2 
SPRITE/COCA COLA/fFANTA 1 KRAT,263 ,2 
BOTOL KACA KAKTUS,263 ,1 
RACUN TIKUS,264 ,2 
JAM DINDING ANGKA,265 ,2 
TABLET LCD,266 ,5 
TABLET LCD,267 ,1 
CUTER TRANSPARAN,267 ,1 
STAN HANGER TOPI,267 ,1 
TUDUNG SAJI SAGA,268 ,1 
RACUN TIKUS,269 ,4 
JEMURAN LIPAT NAGATO,270 ,1 
MAWAR LAUNDRY REFILL,271 ,1 
SEMPOA 010122,272 ,1 
KERANJANG PAJERO WARNA,273 ,3 
MASKER DUCKBIL ANAK,274 ,1 
TABLET LCD,274 ,1 
PANCI KUAH ENAMEL 22 GSF,275 ,1 
TREMOS ELEPHANT,275 ,1 
MAWAR LAUNDRY REFILL,275 ,1 
TABLET LCD,275 ,1 
GELAS PLASTIK AYAM JAGO JUMBO,276 ,1 
MASKER DUCKBIL ANAK,277 ,1 
SPREI HOME UK 160 & 180,277 ,1 
BOTOL KACA KAKTUS,278 ,1 
BUSA ROYAL 160x20,279 ,1 
BANTAL GULING CANON,279 ,3 
JEMURAN ALUMINIUM STANDART WARNA,279 ,2 
KIPAS WELHOME BERDIRI 1681,279 ,1 
BONEKA BOBA LED XL,280 ,1 
FRYPAN SET TEFLON HITAM ISI 2,281 ,1 
SPONS MANDI,281 ,1 
TEMPAT BUMBU ISI 4 UK M,281 ,1 
BATU BAKAR,281 ,1 
PISAU STENLIS BUAH,281 ,1 
SAMPAH INJAK,281 ,1 
WAJAN WARNA GSF,283 ,1 
SAPU LIDI KAYU GEPENG,283 ,1 
SARINGAN TEH TANGGUNG,283 ,1 
PISAU SULTAN,284 ,1 
TEFLON GSF 22CM,285 ,1 
TABLET LCD,286 ,1 
MAINAN JEEP PUTIH,287 ,1 
MANTEL HARMONY JAKET CELANA,288 ,1 
TREMOS INDOGLASS 500ML,288 ,1 
TIMBANGAN DAPUR KENMASTER,289 ,1 
MAINAN TEFLON YK 27,289 ,1 
BOTOL MINUM 750ML SL,290 ,3 
BOTOL KACA KAKTUS,290 ,3 
KASUR LANTAI PALEMBANG,291 ,1 
MAINAN TARIK,291 ,1 
KIPAS TANGAN GRADASI,292 ,1 
TABLET LCD,293 ,2 
BUSA ROYAL 180x20,294 ,1 
TABLET LCD,294 ,1 
MAINAN TEFLON YK 27,295 ,1 
BOTOL KACA KAKTUS,296 ,5 
TEKO SET JAGO,297 ,1 
BAD COVER BONITA 180X200,298 ,1 
MAWAR LAUNDRY REFILL,299 ,1 
MEJA BELAJAR IMPOR KARAKTER,299 ,2 
BAK HITAM 28 SJP,299 ,1 
KIPAS TANGAN GRADASI,300 ,1 
GELAS TIFFANY,301 ,1 
TIMBANGAN KUE GSF DIGITAL 4505,301 ,1 
LEM DEXTON BOTOL,303 ,1 
SPRINGBED BIGDREAM 180,303 ,1 
KIPAS WELHOME BERDIRI 1681,303 ,1 
TABLET LCD,305 ,1 
ROYAL FOAM KAIN ZAKAT,306 ,1 
TREMOS ELEPHANT,306 ,1 
FRYPAN 3288,307 ,1 
LEMARI GMCC TIREX 4SSN,308 ,1 
BATU BAKAR,309 ,1 
BONEKA BOBA LED XL,309 ,1 
CANGKIR LEPEK JAGO,309 ,1 
KERANJANG PAJERO WARNA,311 ,2 
RACUN CICAK,311 ,1 
BOTOL KACA KAKTUS,312 ,2 
STIKER MOMO,312 ,1 
CUTER TRANSPARAN,312 ,1 
REGULATOR DESTEC PANDOM METER,314 ,1 
TREMOS INDOGLASS 750ML,314 ,1 
MAINAN TEFLON YK 27,314 ,1 
BANTAL/GULING MAHKOTA MERAH,315 ,1 
PANCI EAGLE 22 SARANGAN,316 ,1 
KERANJANG PAJERO WARNA,317 ,7 
BOTOL KACA KAKTUS,317 ,2 
LEMARI LS2P KACA,317 ,1 
MASKER DUCKBIL ANAK,318 ,1 
KERANJANG PAJERO WARNA,319 ,3 
TABLET LCD,320 ,1 
CUTER TRANSPARAN,320 ,1 
KERANJANG PAJERO WARNA,320 ,2 
TOPRON,320 ,1 
SPREI MY LOVE 180 30CM,321 ,1 
SPRINGBED BIGDREAM 180,322 ,1 
TOPLES 16L,323 ,1 
FRYPAN 3288,323 ,1 
TREMOS ELEPHANT,324 ,1 
MAGICOM MIYAKO 638,324 ,1 
JEMURAN LIPAT NAGATO,325 ,1 
BUSA INOAC 140x30,326 ,1 
KIPAS DINDING WELHOME 1663E,326 ,1 
WAFER CINTA QITA,327 ,1 
CUTER TRANSPARAN,328 ,1 
TABLET LCD,328 ,1 
REGULATOR DESTEC PANDOM METER,329 ,1 
BONEKA BOBA LED XL,330 ,1 
TABLET LCD,330 ,1 
RACUN TIKUS,331 ,3 
MANTEL POLKADOT DOLPHIN,331 ,1 
SAJADAH PRADA TAS,331 ,1 
TABLET LCD,332 ,2 
TABLET LCD,333 ,3 
MASKER DUCKBIL ANAK,333 ,1 
DOUBLE PAN HAPPY CALL,334 ,1 
TABLET LCD,334 ,1 
CELENGAN SIZE S,335 ,1 
TEKO SET JAGO,335 ,1 
LEMARI 4SSN FAWSLINE WARNA WARNI,336 ,1 
GELAS JUS PORTO,336 ,1 
ROYAL FOAM KAIN ZAKAT,336 ,1 
GELAS JUS PORTO,337 ,4 
FRYPAN 3288,338 ,1 
RACUN TIKUS,338 ,1 
SPREI MY LOVE 180 30CM,339 ,8 
SPREI ILLUSION 160,339 ,1 
TEMPAT TISU KOTAK PANJANG,340 ,1 
PANGGANGAN PORTABEL,341 ,1 
BOTOL MINUM 750ML SL,342 ,2 
BOTOL KACA KAKTUS,342 ,2 
PAYUNG PELANGI JUMBO,342 ,1 
KERANJANG PAJERO WARNA,342 ,3 
BLENDER OMEGA NATIONAL,343 ,1 
TEKO SET JAGO,344 ,1 
BONEKA BOBA LED XL,345 ,1 
TABLET LCD,346 ,2 
PAYUNG LIPAT 3 DIMENSI,346 ,1 
STIKER MOMO,346 ,1 
TABLET LCD,347 ,1 
SPREI MY LOVE 180 30CM,348 ,2 
MAWAR LAUNDRY REFILL,348 ,2 
BOTOL KACA KAKTUS,349 ,1 
TABLET LCD,350 ,1 
PAYUNG 16 JARI,351 ,1 
JEMURAN LIPAT NAGATO,352 ,3 
NAMPAN 4 SEDENG,353 ,1 
DIPAN SULTAN,354 ,1 
GELAS PLASTIK AYAM JAGO JUMBO,354 ,1 
SPREI HOME UK 160 & 180,355 ,1 
KURSI SUSAN,356 ,1 
KERANJANG POPOK BAYI,356 ,1 
NAMPAN 4 SEDENG,357 ,1 
CUTER TRANSPARAN,358 ,3 
TABLET LCD,358 ,1 
WAFER TANGO,358 ,1 
WAFER TANGO,359 ,1 
JEMURAN LIPAT NAGATO,360 ,1 
MANTEL HARMONY JAKET CELANA,360 ,1 
BONEKA BOBA LED XL,361 ,1 
WAJAN PIZZA,362 ,1 
KARPET SPONS MURAH,363 ,1 
DIPAN SULTAN,364 ,1 
LEM DEXTON BOTOL,364 ,1 
